title,soldprice,solddate,bids,link
Sony Alpha A7R II 42MP Mirrorless Digital Camera + extras ,810.0,Sold  28 Nov 2020,9 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7R-II-42MP-Mirrorless-Digital-Camera-extras/324387051703?hash=item4b86f998b7%3Ag%3A5tEAAOSwcLRfu8oS&LH_Auction=1
"Sony Alpha A7 III, FE 28-70mm 3.5-5.6, FE 28mm 2.8 & Accessories",1780.01,Sold  28 Nov 2020,3 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-III-FE-28-70mm-3-5-5-6-FE-28mm-2-8-Accessories/154209912838?hash=item23e7a08806%3Ag%3AurwAAOSw9rJfusWt&LH_Auction=1
Sony Alpha A7S + 2 Lens( see pictures). Shuter count 4079,635.55,Sold  28 Nov 2020,7 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7S-2-Lens-see-pictures-Shuter-count-4079/274590126362?hash=item3feed8d11a%3Ag%3AyQ0AAOSwV3RfvsFE&LH_Auction=1
Sony Alpha A7Sii Digital Camera Package,950.0,Sold  28 Nov 2020,1 bid,https://www.ebay.co.uk/itm/Sony-Alpha-A7Sii-Digital-Camera-Package/264947223986?epid=12027869768&hash=item3db015cdb2%3Ag%3ApioAAOSwVFhft75k&LH_Auction=1
Sony Alpha A7 III 24.0MP Digital Camera (Body Only) - 3 battery Low SC Mint cond,1350.0,Sold  28 Nov 2020,15 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-III-24-0MP-Digital-Camera-Body-Only-3-battery-Low-SC-Mint-cond/254782357826?epid=25031179622&hash=item3b52364142%3Ag%3Ak5UAAOSwOo5ftXk0&LH_Auction=1
Sony Alpha A7S 12.2MP Digital Camera - Black (Body Only),380.0,Sold  28 Nov 2020,22 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7S-12-2MP-Digital-Camera-Black-Body-Only/324383530777?epid=12027869768&hash=item4b86c3df19%3Ag%3AY1cAAOSwObdfuSI-&LH_Auction=1
Sony Alpha A7 24.3MP Digital Camera - (Kit w/ FE 28-70mm OSS Lens) *15 shots*,480.0,Sold  28 Nov 2020,4 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-24-3MP-Digital-Camera-Kit-w-FE-28-70mm-OSS-Lens-15-shots/313312715036?epid=175240544&hash=item48f2e4a11c%3Ag%3AQosAAOSwIwpfuX6u&LH_Auction=1
Sony a7r ii body,787.0,Sold  28 Nov 2020,7 bids,https://www.ebay.co.uk/itm/Sony-a7r-ii-body/293841114483?hash=item446a4b9573%3Ag%3AbLwAAOSwB4ZftVwF&LH_Auction=1
Sony Alpha A7 24.3MP Digital Camera - Black (Body Only),330.0,Sold  28 Nov 2020,12 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-24-3MP-Digital-Camera-Black-Body-Only/224243759230?hash=item3435f8387e%3Ag%3Au7oAAOSwgzVfuUNy&LH_Auction=1
Sony Alpha A7R III 42.4MP Digital Camera - Black (Body) - Only 511 Actuations!!,1574.0,Sold  28 Nov 2020,8 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7R-III-42-4MP-Digital-Camera-Black-Body-Only-511-Actuations/133583616921?epid=26027889595&hash=item1f1a343b99%3Ag%3AcyIAAOSwx8pfuRqP&LH_Auction=1
